x               Q2[GeV^2]          y           W2[GeV^2]      stat[%]     pt-pt[%]   norm[%]
---------------------------------------------------------------------------------------------

beam energy set:18x275
----------------------- 
5.15e-05          0.515          0.505          1e+04        0.00711       1.5       2.5
8.15e-05          0.515          0.319           6310        0.00679       1.5       2.5
8.15e-05          0.815          0.505          1e+04        0.00566       1.5       2.5
0.000129          0.515          0.201           3981        0.00666       1.5       2.5
0.000129          0.815          0.319           6310        0.00544       1.5       2.5
0.000129           1.29          0.505          1e+04        0.00681       1.5       2.5
0.000205          0.515          0.127           2512        0.00667       1.5       2.5
0.000205          0.815          0.201           3981        0.00536       1.5       2.5
0.000205           1.29          0.319           6309        0.00654       1.5       2.5
0.000205           2.05          0.505           9999         0.0084       1.5       2.5
0.000325          0.515           0.08           1585        0.00677       1.5       2.5
0.000325          0.815          0.127           2512        0.00539       1.5       2.5
0.000325           1.29          0.201           3981        0.00647       1.5       2.5
0.000325           2.05          0.319           6308         0.0081       1.5       2.5
0.000325           3.25          0.505           9998         0.0101       1.5       2.5
0.000515          0.515         0.0505           1000        0.00694       1.5       2.5
0.000515          0.815           0.08           1585        0.00548       1.5       2.5
0.000515           1.29          0.127           2511        0.00652       1.5       2.5
0.000515           2.05          0.201           3980        0.00803       1.5       2.5
0.000515           3.25          0.319           6307        0.00973       1.5       2.5
0.000515           5.15          0.505           9996         0.0122       1.5       2.5
0.000815          0.515         0.0319          631.3        0.00714       1.5       2.5
0.000815          0.815         0.0505           1000        0.00562       1.5       2.5
0.000815           1.29           0.08           1584        0.00665       1.5       2.5
0.000815           2.05          0.127           2511        0.00811       1.5       2.5
0.000815           3.25          0.201           3979        0.00963       1.5       2.5
0.000815           5.15          0.319           6305         0.0118       1.5       2.5
0.000815           8.15          0.505           9993          0.015       1.5       2.5
0.00129           0.515         0.0201          398.5        0.00738       1.5       2.5
0.00129           0.815         0.0319            631         0.0058       1.5       2.5
0.00129            1.29         0.0505          999.6        0.00684       1.5       2.5
0.00129            2.05           0.08           1584         0.0083       1.5       2.5
0.00129            3.25          0.127           2510        0.00973       1.5       2.5
0.00129            5.15          0.201           3977         0.0117       1.5       2.5
0.00129            8.15          0.319           6302         0.0145       1.5       2.5
0.00129            12.9          0.505           9988         0.0186       1.5       2.5
0.00205           0.515         0.0127          251.6        0.00763       1.5       2.5
0.00205           0.815         0.0201          398.2        0.00599       1.5       2.5
0.00205            1.29         0.0319          630.5        0.00707       1.5       2.5
0.00205            2.05         0.0505          998.8        0.00853       1.5       2.5
0.00205            3.25           0.08           1583        0.00995       1.5       2.5
0.00205            5.15          0.127           2508         0.0119       1.5       2.5
0.00205            8.15          0.201           3974         0.0145       1.5       2.5
0.00205            12.9          0.319           6298         0.0182       1.5       2.5
0.00205            20.5          0.505           9980         0.0235       1.5       2.5
0.00325           0.515          0.008          158.9        0.00787       2.5       2.5
0.00325           0.815         0.0127          251.3        0.00619       1.5       2.5
0.00325            1.29         0.0201          397.7        0.00731       1.5       2.5
0.00325            2.05         0.0319          629.8        0.00882       1.5       2.5
0.00325            3.25         0.0505          997.6         0.0103       1.5       2.5
0.00325            5.15           0.08           1581         0.0122       1.5       2.5
