x               Q2[GeV^2]          y           W2[GeV^2]      stat[%]     pt-pt[%]   norm[%]
---------------------------------------------------------------------------------------------


beam energy set:18x275
----------------------- 
0.000129           1.29          0.505          1e+04        0.00682       2.3       4.3
0.000205           1.29          0.319           6309        0.00655       2.3       4.3
0.000205           2.05          0.505           9999         0.0084       2.3       4.3
0.000325           1.29          0.201           3981        0.00647       2.3       4.3
0.000325           2.05          0.319           6308         0.0081       2.3       4.3
0.000325           3.25          0.505           9998         0.0101       2.3       4.3
0.000515           1.29          0.127           2511        0.00652       2.3       4.3
0.000515           2.05          0.201           3980        0.00804       2.3       4.3
0.000515           3.25          0.319           6307        0.00971       2.3       4.3
0.000515           5.15          0.505           9996         0.0122       2.3       4.3
0.000815           1.29           0.08           1584        0.00666       2.3       4.3
0.000815           2.05          0.127           2511        0.00813       2.3       4.3
0.000815           3.25          0.201           3979        0.00963       2.3       4.3
0.000815           5.15          0.319           6305         0.0118       2.3       4.3
0.000815           8.15          0.505           9993          0.015       2.3       4.3
0.00129            1.29         0.0505          999.6        0.00684       2.3       4.3
0.00129            2.05           0.08           1584         0.0083       2.3       4.3
0.00129            3.25          0.127           2510        0.00973       2.3       4.3
0.00129            5.15          0.201           3977         0.0117       2.3       4.3
0.00129            8.15          0.319           6302         0.0145       2.3       4.3
0.00129            12.9          0.505           9988         0.0186       2.3       4.3
0.00205            1.29         0.0319          630.5        0.00707       2.3       4.3
0.00205            2.05         0.0505          998.8        0.00855       2.3       4.3
0.00205            3.25           0.08           1583        0.00996       2.3       4.3
0.00205            5.15          0.127           2508         0.0119       2.3       4.3
0.00205            8.15          0.201           3974         0.0145       2.3       4.3
0.00205            12.9          0.319           6298         0.0182       2.3       4.3
0.00205            20.5          0.505           9980         0.0236       2.3       4.3
0.00325            1.29         0.0201          397.7        0.00731       2.3       4.3
0.00325            2.05         0.0319          629.8         0.0088       2.3       4.3
0.00325            3.25         0.0505          997.6         0.0102       2.3       4.3
0.00325            5.15           0.08           1581         0.0122       2.3       4.3
0.00325            8.15          0.127           2505         0.0148       2.3       4.3
0.00325            12.9          0.201           3969         0.0182       2.3       4.3
0.00325            20.5          0.319           6290          0.023       2.3       4.3
0.00325            32.5          0.505           9968           0.03       2.3       4.3
0.00515            2.05         0.0201          396.9        0.00912       2.3       4.3
0.00515            3.25         0.0319          628.6         0.0106       2.3       4.3
0.00515            5.15         0.0505          995.7         0.0125       2.3       4.3
0.00515            8.15           0.08           1578          0.015       2.3       4.3
0.00515            12.9          0.127           2500         0.0186       2.3       4.3
0.00515            20.5          0.201           3961         0.0231       2.3       4.3
0.00515            32.5          0.319           6278         0.0297       2.3       4.3
0.00515            51.5          0.505           9949         0.0391       2.3       4.3
0.00815            3.25         0.0201          395.7         0.0109       2.3       4.3
0.00815            5.15         0.0319          626.7          0.013       2.3       4.3
0.00815            8.15         0.0505          992.7         0.0157       2.3       4.3
0.00815            12.9           0.08           1573         0.0191       2.3       4.3
0.00815            20.5          0.127           2492         0.0238       2.3       4.3
0.00815            32.5          0.201           3949           0.03       2.3       4.3
0.00815            51.5          0.319           6259         0.0384       2.3       4.3
0.00815            81.5          0.505           9919         0.0516       2.3       4.3
